October 2022: Table 1
Surface Cleaner 750ml;119,99;119,99;154,99;
Tea 100 tea bags;168,99;169,99;189,99;
Thai Rice 2kg;285,99;299,99;252,8;
Tinned beans 410g;89,99;99,99;98,25;
Tinned fish 155g;94,99;99,99;84,35;
Tissues (Pack of 4);83,79;108,99;82,45;
Toilet Cleaner 500ml;229,49;249,99;206,4;
Toothpaste 100ml;91,99;89,99;90,75;
Washing Powder 1kg;178,69;276,99;253,8;
Washing Powder 2kg;483,99;529,99;458,85;

Main: Table 1
;;Apr-24;;Feb-24;;;Sep-23;Aug-23;;May-23;;Feb-23;;;
;Product;Prices in Tuckshops USD;Price in Supermarkets in ZWL$;Prices in Tuckshops USD;Price in Supermarkets in ZWL$;Prices in Tuckshops USD;Price in Supermarkets in ZWL$;Prices in Tuckshops USD;Price in Supermarkets in ZWL$;Prices in Tuckshops USD;Price in Supermarkets in ZWL$;Prices in Tuckshops USD;Price in Supermarkets;;
;All Purpose Cleaner 750ml;US$1,80 ;$68 400.00;US$1,80 ;$23 940.00;US$1,60 ;$10 488.00;US$1,40 ;$8 113.00;US$1,70 ;$5 814.00;US$1,80 ;US$1 881.00;;
;Bath soap Geisha 225g;US$0,75 ;$28 500.00;US$0,75 ;$9 975.00;US$0,60 ;$3 933.00;US$0,65 ;$3 766.75;US$0,60 ;$2 052.00;US$0,80 ;US$836.00;;
;Bath soap Jade 250g;US$0,75 ;$28 500.00;US$0,75 ;$9 975.00;US$0,60 ;$3 933.00;US$0,65 ;$3 766.75;US$0,60 ;$2 052.00;US$0,80 ;US$836.00;;
;Bath Soap Sona;US$0,50 ;$19 000.00;US$0,50 ;$6 650.00;US$0,50 ;$3 277.50;US$0,55 ;$3 187.25;US$0,50 ;$1 710.00;US$0,60 ;US$627.00;;
;Beans Dried 500g;US$1,00 ;$38 000.00;US$1,00 ;$13 300.00;US$1,00 ;$6 555.00;US$1,20 ;$6 954.00;US$0,75 ;$2 565.00;US$0,80 ;US$836.00;;
;Bleach/Jik 750ml;US$1,50 ;$57 000.00;US$1,50 ;$19 950.00;US$1,50 ;$9 832.50;US$1,50 ;$8 692.50;US$1,50 ;$5 130.00;US$1,80 ;US$1 881.00;;
;Bread Bakers Inn;US$1,00 ;$38 000.00;US$1,10 ;$14 630.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Bread Lobels;US$1,00 ;$38 000.00;US$1,10 ;$14 630.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Bread Proton;US$1,00 ;$38 000.00;US$1,10 ;$14 630.00;US$1,00 ;$6 555.00;US$1,00 ;$5 795.00;US$1,00 ;$3 420.00;US$1,00 ;US$1 045.00;;
;Candles 6pack 450g;US$1,80 ;$68 400.00;US$1,80 ;$23 940.00;US$3,00 ;$19 665.00;US$3,00 ;$17 385.00;US$3,20 ;$10 944.00;US$3,00 ;US$3 135.00;;
;Cereal (Cerevita) 500g;US$3,00 ;$114 000.00;US$2,80 ;$37 240.00;US$2,30 ;$15 076.50;US$2,60 ;$15 067.00;US$3,00 ;$10 260.00;US$2,80 ;US$2 926.00;;
;Cooking Oil 2l;US$3,00 ;$114 000.00;US$2,80 ;$37 240.00;US$3,00 ;$19 665.00;US$2,90 ;$16 805.50;US$3,75 ;$12 825.00;US$4,00 ;US$4 180.00;;
;Creamer 1kg;US$3,00 ;$114 000.00;US$3,50 ;$46 550.00;US$3,30 ;$21 631.50;US$3,50 ;$20 282.50;US$3,10 ;$10 602.00;US$3,00 ;US$3 135.00;;
;Diapers 50;US$6,00 ;$228 000.00;US$6,00 ;$79 800.00;US$6,00 ;$39 330.00;US$6,00 ;$34 770.00;US$6,00 ;$20 520.00;US$5,80 ;US$6 061.00;;
;Dish Washer 750ml;US$1,80 ;$68 400.00;US$1,80 ;$23 940.00;US$1,50 ;$9 832.50;US$1,50 ;$8 692.50;US$1,60 ;$5 472.00;US$1,80 ;US$1 881.00;;
